building_name,unit,beds,baths,price,url_py
The Epic,['#45C - 125 West 31st Street'],"['\n                ', '\n                  1 bed\n              ']","['\n                  ', '\n                  1 bath\n                ']","['\n            $5,100\n              ', '\n          ']",['https://streeteasy.com/building/the-epic/45c?context%5Bcontroller%5D=%23%3CBuildingController%3A0x0000558eb733c818%3E&context%5Bcurrent_user%5D=&hide_if_empty=true&section=rentals']
The Epic,['#35D - 125 West 31st Street'],"['\n                ', '\n                  1 bed\n              ']","['\n                  ', '\n                  1 bath\n                ']","['\n            $4,995\n              ', '\n          ']",['https://streeteasy.com/building/the-epic/35d?context%5Bcontroller%5D=%23%3CBuildingController%3A0x0000558eb733c818%3E&context%5Bcurrent_user%5D=&hide_if_empty=true&section=rentals']
Herald Towers,['#23C5 - 50 W 34th Street'],"['\n                ', '\n                  1 bed\n              ']","['\n                  ', '\n                  1 bath\n                ']","['\n            $4,950\n              ', '\n          ']",['https://streeteasy.com/building/herald-towers/23c05?context%5Bcontroller%5D=%23%3CBuildingController%3A0x0000556f60e09b18%3E&context%5Bcurrent_user%5D=&hide_if_empty=true&section=rentals']
Herald Towers,['#10A3 - 50 W 34th Street'],"['\n                ', '\n                  1 bed\n              ']","['\n                  ', '\n                  1 bath\n                ']","['\n            $4,200\n              ', '\n          ']",['https://streeteasy.com/building/herald-towers/10a3?context%5Bcontroller%5D=%23%3CBuildingController%3A0x0000556f60e09b18%3E&context%5Bcurrent_user%5D=&hide_if_empty=true&section=rentals']
Herald Towers,['#10C10 - 50 W 34th Street'],"['\n                ', '\n                  1 bed\n              ']","['\n                  ', '\n                  1 bath\n                ']","['\n            $4,200\n              ', '\n          ']",['https://streeteasy.com/building/herald-towers/10c10?context%5Bcontroller%5D=%23%3CBuildingController%3A0x0000556f60e09b18%3E&context%5Bcurrent_user%5D=&hide_if_empty=true&section=rentals']
Herald Towers,['#5C2 - 50 W 34th Street'],"['\n                ', '\n                  studio\n              ']","['\n                  ', '\n                  1 bath\n                ']","['\n            $3,475\n              ', '\n          ']",['https://streeteasy.com/building/herald-towers/5c02?context%5Bcontroller%5D=%23%3CBuildingController%3A0x0000556f60e09b18%3E&context%5Bcurrent_user%5D=&hide_if_empty=true&section=rentals']
Anagram Nomad,['#40D - 10 E 29th Street'],"['\n                ', '\n                  3 beds\n              ']","['\n                  ', '\n                  3 baths\n                ']","['\n            $14,748\n              ', '\n          ']",['https://streeteasy.com/building/anagram-nomad/40d?context%5Bcontroller%5D=%23%3CBuildingController%3A0x000055c5a9942e00%3E&context%5Bcurrent_user%5D=&hide_if_empty=true&section=rentals']
Anagram Nomad,['#16G - 10 E 29th Street'],"['\n                ', '\n                  2 beds\n              ']","['\n                  ', '\n                  2 baths\n                ']","['\n            $8,514\n              ', '\n          ']",['https://streeteasy.com/building/anagram-nomad/16g?context%5Bcontroller%5D=%23%3CBuildingController%3A0x000055c5a9942e00%3E&context%5Bcurrent_user%5D=&hide_if_empty=true&section=rentals']
Anagram Nomad,['#4D - 10 E 29th Street'],"['\n                ', '\n                  1 bed\n              ']","['\n                  ', '\n                  1 bath\n                ']","['\n            $6,552\n              ', '\n          ']",['https://streeteasy.com/building/anagram-nomad/04d?context%5Bcontroller%5D=%23%3CBuildingController%3A0x000055c5a9942e00%3E&context%5Bcurrent_user%5D=&hide_if_empty=true&section=rentals']
Anagram Nomad,['#9J - 10 E 29th Street'],"['\n                ', '\n                  1 bed\n              ']","['\n                  ', '\n                  1 bath\n                ']","['\n            $5,509\n              ', '\n          ']",['https://streeteasy.com/building/anagram-nomad/09j?context%5Bcontroller%5D=%23%3CBuildingController%3A0x000055c5a9942e00%3E&context%5Bcurrent_user%5D=&hide_if_empty=true&section=rentals']
